Id,Word,Transcription,Definition,Example
2313,practitioner,prækˈtɪʃənər,A practitioner is a doctor.,She made an appointment with the practitioner to treat her cough.
2314,provision,prəˈvɪʒn,The provision of something is the act of giving it to people in need or want.,That department is responsible for the provision of emergency supplies.
2315,replenish,rɪˈplenɪʃ,To replenish something means to make it full or complete again.,We planted nearly one hundred seeds to replenish the garden after the fire.
2316,reverse,rɪˈvɜːrs,"When a car reverses, it goes backwards.",We reversed out of the parking place and then drove away.
2317,sterile,ˈsterəl,"When something is sterile, it is completely clean and free from germs.",The hospital room looked quite sterile.
2318,upgrade,ˌʌpˈɡreɪd,To upgrade something means to improve it or make it more efficient.,He upgraded to a real fancy car.
2319,viable,ˈvaɪəbl,"When something is viable, it is capable of doing what it is intended to do.",Her method of solving the math problem seemed viable.
2320,voluntary,ˈvɑːlənteri,"When something is voluntary, it is done by choice but is not required.",Many people attended the voluntary boat safety class.
2321,airway,ˈerweɪ,An airway is the passage by which air reaches a person’s lungs.,"Since he was sick, mucus would occasionally get stuck in his airway."
2322,Almighty,ɔːlmáiti,The Almighty is a name for a god in a religion.,"Before eating, they thanked the Almighty for their food."
2323,advent,ˈædvent,"An advent is the arrival or beginning of an important person, thing, or event.","During the advent of radio, very few programs actually played music."
2324,cycle,ˈsaɪkl,A cycle is a series of events that go in a circle from the end back to the beginning again.,"They were caught in a cycle of poverty, lack of education, and unemployment."
2325,definitive,dɪˈfɪnətɪv,"If something is definitive, then it is the most official.",This library has the definitive collection of books on ancient Egypt.
2326,equate,ɪˈkweɪt,To equate one thing with another is to compare them and consider them very similar.,She equated the man’s messy appearance with a lack of responsibility.
2327,found,faʊnd,To found something on an idea or principal is to base it on that idea.,This is founded on the belief that all people are created equal.
2328,ideology,ˌaɪdiˈɑːlədʒi,An ideology is a system of belief.,"Within the teachers’ ideology, there was a belief in the value of parent participation."
2329,inhale,ɪnˈheɪl,To inhale means to take air or a smell into the lungs.,The camper inhaled the cool and fresh mountain air and felt relaxed.
2330,invoke,ɪnˈvəʊk,To invoke something is to mention it to support an argument or ask for help.,"Before going into battle, the soldier invoked the name of his god for protection."
2331,lunar,ˈluːnər,"If something is lunar, then it is related to the moon.","During a lunar eclipse, Earth’s shadow darkens the moon’s surface."
2332,novelty,ˈnɑːvlti,"A novelty is something that is new, original, or strange.",Ice cream was a novelty for him since he rarely had any.
2333,outmoded,ˌaʊtˈməʊdɪd,"If something is outmoded, then it is no longer in fashion or use.",Black and white television sets are outmoded.
2334,personalize,ˈpɜːrsənəlaɪz,To personalize something means to design it to meet a person’s unique needs.,He personalized the woman’s exercises to give her a better workout.
2335,psychiatric,ˌsaɪkiˈætrɪk,"If something is psychiatric, then it is related to mental illness or its treatment.",The doctor said the patient might have a psychiatric problem.
2336,psychiatry,saɪˈkaɪətri,Psychiatry is the study and treatment of mental illness.,Studying psychiatry has taught me a lot about mental illness.
2337,reflex,ˈriːfleks,A reflex is an unconscious action in which a body part responds to an event.,There was a reflex when the doctor hit his knee with a rubber hammer.
2338,seizure,ˈsiːʒər,A seizure is a sudden condition in which the body loses control and shakes.,Bright fashing lights can cause seizures in children.
2339,session,ˈseʃn,A session is a meeting at a regular time in order to discuss and solve an issue.,"Every three months, the managers met in a session to discuss regional sales."
2340,utensil,juːˈtensl,A utensil is a common tool or container.,It seemed that a fork was the wrong utensil for trying to eat the soup.
2341,allocate,ˈæləkeɪt,To allocate something means to put it aside for a certain purpose or person.,The government allocated $100 million to aid the disaster relief effort.
2342,appetizing,ˈæpɪtaɪzɪŋ,"When food is appetizing, it looks and smells very good.",The appetizing plate of cookies was gone in half an hour.
2343,assign,əˈsaɪn,"When you assign work, you give that work to particular people.",I was assigned the job of making sure everyone had plenty to drink.
2344,cavity,ˈkævəti,A cavity is a hole or space in something.,"There was a small cavity in the wall of the cave, where an animal lived."
2345,clockwise,ˈklɑːkwaɪz,"If something moves clockwise, it moves in a circle in the same direction as a clock.",Turn the screw clockwise to tighten it.
2346,concentric,kənˈsentrɪk,"When circles or rings are concentric, they have the same center.",The target was a series of concentric circles.
2347,courtesy,ˈkɜːrtəsi,Courtesy is the excellence of manners or social conduct.,Jenna always behaves with great courtesy when people visit her home.
2348,crisp,krɪsp,"When food is crisp, it is hard or has a hard surface in a way that is pleasant.","My favorite snack is a bag of crisp, delicious potato chips."
2349,discord,ˈdɪskɔːrd,Discord is disagreement or fighting.,There was much discord between the experts on the talk show.
2350,generate,ˈdʒenəreɪt,To generate something means to cause it to develop or begin.,The mayor promised to generate new jobs and programs to help the poor.
2351,item,ˈaɪtəm,An item is a single separate piece.,There were some items of clothing found at the crime scene.
2352,interchange,ˈɪntərtʃeɪndʒ,An interchange of ideas between people is a discussion of each person’s idea.,There was an interchange of ideas between the groups.
2353,multicultural,ˌmʌltiˈkʌltʃərəl,"When something is multicultural, it relates to many different cultures.",Everyone was welcome to attend the multicultural celebration.
2354,omission,əˈmɪʃn,An omission is something that has been left out or not done.,Mike was upset because of the omission of his name during the ceremony.
2355,oversee,ˌəʊvərˈsiː,To oversee something means to make sure that it is being done properly.,His job was to oversee the progress of the construction project.
2356,pierce,pɪrs,To pierce something means to make a hole in it using a sharp object.,The arrow pierced the target in the very center.
2357,select,sɪˈlekt,"When you select something, you carefully choose it.",They had to select textbooks for each class.
2358,structure,ˈstrʌktʃər,The structure involves the shape and organization of the parts of a building or group.,There are big differences in family structure in different cultures.
2359,visual,ˈvɪʒuəl,Visual relates to seeing.,The visual displays were very attractive.
2360,wavy,ˈweɪvi,"When something is wavy, it is not straight but has a series of curves.",The child drew wavy lines all over the piece of paper.
2361,conversion,kənˈvɜːrʒn,Conversion is the act of changing something into a different state or form.,The city discussed the conversion of the parking lot into a skateboard park.
